,Country,Province,City,Code
0,中国,北京,东城,001011001
1,中国,北京,西城,001011002
2,中国,北京,崇文,001011003
3,中国,北京,宣武,001011004
4,中国,北京,朝阳,001011005
5,中国,北京,丰台,001011006
6,中国,北京,石景山,001011007
7,中国,北京,海淀,001011008
8,中国,北京,门头沟,001011009
9,中国,北京,房山,001011011
10,中国,北京,通州,001011012
11,中国,北京,顺义,001011013
12,中国,北京,昌平,001011014
13,中国,北京,大兴,001011015
14,中国,北京,怀柔,001011016
15,中国,北京,平谷,001011017
16,中国,北京,密云,001011028
17,中国,北京,延庆,001011029
18,中国,天津,和平区,001012001
19,中国,天津,河东区,001012002
20,中国,天津,河西区,001012003
21,中国,天津,南开区,001012004
22,中国,天津,河北区,001012005
23,中国,天津,红桥区,001012006
24,中国,天津,塘沽区,001012007
25,中国,天津,汉沽区,001012008
26,中国,天津,大港区,001012009
27,中国,天津,东丽区,001012010
28,中国,天津,西青区,001012011
29,中国,天津,津南区,001012012
30,中国,天津,北辰区,001012013
31,中国,天津,武清区,001012014
32,中国,天津,宝坻区,001012015
33,中国,天津,宁河县,001012021
34,中国,天津,静海县,001012023
35,中国,天津,蓟县,001012025
36,中国,天津,滨海新区,001012026
37,中国,天津,保税区,001012027
38,中国,河北,石家庄,001013001
39,中国,河北,唐山,001013002
40,中国,河北,秦皇岛,001013003
41,中国,河北,邯郸,001013004
42,中国,河北,邢台,001013005
43,中国,河北,保定,001013006
44,中国,河北,张家口,001013007
45,中国,河北,承德,001013008
46,中国,河北,沧州,001013009
47,中国,河北,廊坊,001013010
48,中国,河北,衡水,001013011
49,中国,山西,太原,001014001
50,中国,山西,大同,001014002
51,中国,山西,阳泉,001014003
52,中国,山西,长治,001014004
53,中国,山西,晋城,001014005
54,中国,山西,朔州,001014006
55,中国,山西,晋中,001014007
56,中国,山西,运城,001014008
57,中国,山西,忻州,001014009
58,中国,山西,临汾,001014010
59,中国,山西,吕梁,001014023
60,中国,内蒙古,呼和浩特,001015001
61,中国,内蒙古,包头,001015002
62,中国,内蒙古,乌海,001015003
63,中国,内蒙古,赤峰,001015004
64,中国,内蒙古,通辽,001015005
65,中国,内蒙古,鄂尔多斯,001015006
66,中国,内蒙古,呼伦贝尔,001015007
67,中国,内蒙古,兴安盟,001015022
68,中国,内蒙古,锡林郭勒盟,001015025
69,中国,内蒙古,乌兰察布市,001015026
70,中国,内蒙古,巴彦淖尔盟,001015028
71,中国,内蒙古,阿拉善盟,001015029
72,中国,辽宁,沈阳,001021001
73,中国,辽宁,大连,001021002
74,中国,辽宁,鞍山,001021003
75,中国,辽宁,抚顺,001021004
76,中国,辽宁,本溪,001021005
77,中国,辽宁,丹东,001021006
78,中国,辽宁,锦州,001021007
79,中国,辽宁,营口,001021008
80,中国,辽宁,阜新,001021009
81,中国,辽宁,辽阳,001021010
82,中国,辽宁,盘锦,001021011
83,中国,辽宁,铁岭,001021012
84,中国,辽宁,朝阳,001021013
85,中国,辽宁,葫芦岛,001021014
86,中国,吉林,长春,001022001
87,中国,吉林,吉林,001022002
88,中国,吉林,四平,001022003
89,中国,吉林,辽源,001022004
90,中国,吉林,通化,001022005
91,中国,吉林,白山,001022006
92,中国,吉林,松原,001022007
93,中国,吉林,白城,001022008
94,中国,吉林,延边朝鲜族自治州,001022024
95,中国,黑龙江,哈尔滨,001023001
96,中国,黑龙江,齐齐哈尔,001023002
97,中国,黑龙江,鸡西,001023003
98,中国,黑龙江,鹤岗,001023004
99,中国,黑龙江,双鸭山,001023005
100,中国,黑龙江,大庆,001023006
101,中国,黑龙江,伊春,001023007
102,中国,黑龙江,佳木斯,001023008
103,中国,黑龙江,七台河,001023009
104,中国,黑龙江,牡丹江,001023010
105,中国,黑龙江,黑河,001023011
106,中国,黑龙江,绥化,001023012
107,中国,黑龙江,大兴安岭,001023027
108,中国,上海,黄浦区,001031001
109,中国,上海,卢湾区,001031003
110,中国,上海,徐汇区,001031004
111,中国,上海,长宁区,001031005
112,中国,上海,静安区,001031006
113,中国,上海,普陀区,001031007
114,中国,上海,闸北区,001031008
115,中国,上海,虹口区,001031009
116,中国,上海,杨浦区,001031010
117,中国,上海,闵行区,001031012
118,中国,上海,宝山区,001031013
119,中国,上海,嘉定区,001031014
120,中国,上海,浦东新区,001031015
121,中国,上海,金山区,001031016
122,中国,上海,松江区,001031017
123,中国,上海,青浦区,001031018
124,中国,上海,南汇区,001031019
125,中国,上海,奉贤区,001031020
126,中国,上海,崇明区,001031030
127,中国,江苏,南京,001032001
128,中国,江苏,无锡,001032002
129,中国,江苏,徐州,001032003
130,中国,江苏,常州,001032004
131,中国,江苏,苏州,001032005
132,中国,江苏,南通,001032006
133,中国,江苏,连云港,001032007
134,中国,江苏,淮安,001032008
135,中国,江苏,盐城,001032009
