,Country,Code
0,中国,001
1,阿尔巴尼亚,002
2,阿尔及利亚,003
3,阿富汗,004
4,阿根廷,005
5,阿拉伯联合酋长国,006
6,阿鲁巴,007
7,阿曼,008
8,阿塞拜疆,009
9,阿森松岛,010
10,埃及,011
11,埃塞俄比亚,012
12,爱尔兰,013
13,爱沙尼亚,014
14,安道尔,015
15,安哥拉,016
16,安圭拉,017
17,安提瓜岛和巴布达,018
18,澳大利亚,019
19,奥地利,020
20,奥兰群岛,021
21,巴巴多斯岛,022
22,巴布亚新几内亚,023
23,巴哈马,024
24,巴基斯坦,025
25,巴拉圭,026
26,巴勒斯坦,027
27,巴林,028
28,巴拿马,029
29,巴西,030
30,白俄罗斯,031
31,百慕大,032
32,保加利亚,033
33,北马里亚纳群岛,034
34,贝宁,035
35,比利时,036
36,冰岛,037
37,波多黎各,038
38,波兰,039
39,玻利维亚,040
40,波斯尼亚和黑塞哥维那,041
41,博茨瓦纳,042
42,伯利兹,043
43,不丹,044
44,布基纳法索,045
45,布隆迪,046
46,布韦岛,047
47,朝鲜,048
48,丹麦,049
49,德国,050
50,东帝汶,051
51,多哥,052
52,多米尼加,053
53,多米尼加共和国,054
54,俄罗斯,055
55,厄瓜多尔,056
56,厄立特里亚,057
57,法国,058
58,法罗群岛,059
59,法属波利尼西亚,060
60,法属圭亚那,061
61,法属南部领地,062
62,梵蒂冈,063
63,菲律宾,064
64,斐济,065
65,芬兰,066
66,佛得角,067
67,弗兰克群岛,068
68,冈比亚,069
69,刚果,070
70,刚果民主共和国,071
71,哥伦比亚,072
72,哥斯达黎加,073
73,格恩西岛,074
74,格林纳达,075
75,格陵兰,076
76,古巴,077
77,瓜德罗普,078
78,关岛,079
79,圭亚那,080
80,哈萨克斯坦,081
81,海地,082
82,韩国,083
83,荷兰,084
84,荷属安地列斯,085
85,赫德和麦克唐纳群岛,086
86,洪都拉斯,087
87,基里巴斯,088
88,吉布提,089
89,吉尔吉斯斯坦,090
90,几内亚,091
91,几内亚比绍,092
92,加拿大,093
93,加纳,094
94,加蓬,095
95,柬埔寨,096
96,捷克共和国,097
97,津巴布韦,098
98,喀麦隆,099
99,卡塔尔,100
100,开曼群岛,101
101,科科斯群岛,102
102,科摩罗,103
103,科特迪瓦,104
104,科威特,105
105,克罗地亚,106
106,肯尼亚,107
107,库克群岛,108
108,拉脱维亚,109
109,莱索托,110
110,老挝,111
111,黎巴嫩,112
112,利比里亚,113
113,利比亚,114
114,立陶宛,115
115,列支敦士登,116
116,留尼旺岛,117
117,卢森堡,118
118,卢旺达,119
119,罗马尼亚,120
120,马达加斯加,121
121,马尔代夫,122
122,马耳他,123
123,马拉维,124
124,马来西亚,125
125,马里,126
126,马其顿,127
127,马绍尔群岛,128
128,马提尼克,129
129,马约特岛,130
130,曼岛,131
131,毛里求斯,132
132,毛里塔尼亚,133
133,美国,134
134,美属萨摩亚,135
135,美属外岛,136
136,蒙古,137
137,蒙特塞拉特,138
138,孟加拉,139
139,密克罗尼西亚,140
140,秘鲁,141
141,缅甸,142
142,摩尔多瓦,143
143,摩洛哥,144
144,摩纳哥,145
145,莫桑比克,146
146,墨西哥,147
147,纳米比亚,148
148,南非,149
149,南极洲,150
150,南乔治亚和南桑德威奇群岛,151
151,瑙鲁,152
152,尼泊尔,153
153,尼加拉瓜,154
154,尼日尔,155
155,尼日利亚,156
156,纽埃,157
157,挪威,158
158,诺福克,159
159,帕劳群岛,160
160,皮特凯恩,161
161,葡萄牙,162
162,乔治亚,163
163,日本,164
164,瑞典,165
165,瑞士,166
166,萨尔瓦多,167
167,萨摩亚,168
168,塞尔维亚和黑山,169
169,塞拉利昂,170
170,塞内加尔,171
171,塞浦路斯,172
172,塞舌尔,173
173,沙特阿拉伯,174
174,圣诞岛,175
175,圣多美和普林西比,176
176,圣赫勒拿,177
177,圣基茨和尼维斯,178
178,圣卢西亚,179
179,圣马力诺,180
180,圣皮埃尔和米克隆群岛,181
181,圣文森特和格林纳丁斯,182
182,斯里兰卡,183
183,斯洛伐克,184
184,斯洛文尼亚,185
185,斯瓦尔巴和扬马廷,186
186,斯威士兰,187
187,苏丹,188
188,苏里南,189
189,所罗门群岛,190
190,索马里,191
191,塔吉克斯坦,192
192,泰国,193
193,坦桑尼亚,194
194,汤加,195
195,特克斯和凯克特斯群岛,196
196,特里斯坦达昆哈,197
197,特立尼达和多巴哥,198
198,突尼斯,199
199,图瓦卢,200
200,土耳其,201
201,土库曼斯坦,202
202,托克劳,203
203,瓦利斯和福图纳,204
204,瓦努阿图,205
205,危地马拉,206
206,维尔京群岛，美属,207
207,维尔京群岛，英属,208
208,委内瑞拉,209
209,文莱,210
210,乌干达,211
211,乌克兰,212
212,乌拉圭,213
213,乌兹别克斯坦,214
214,西班牙,215
215,希腊,216
216,新加坡,217
217,新喀里多尼亚,218
218,新西兰,219
219,匈牙利,220
220,叙利亚,221
221,牙买加,222
222,亚美尼亚,223
223,也门,224
224,伊拉克,225
225,伊朗,226
226,以色列,227
227,意大利,228
228,印度,229
229,印度尼西亚,230
230,英国,231
231,英属印度洋领地,232
232,约旦,233
233,越南,234
234,赞比亚,235
235,泽西岛,236
236,乍得,237
237,直布罗陀,238
238,智利,239
239,中非共和国,240
